mean_squared_error_mean,mean_squared_error_std,model_type,spearman_mean,spearman_std
9820689888285370.0,2.6436593177002308e+16,linear_regression,0.731758500831839,0.011850357041152443
0.10573374868683227,0.0350301184974305,linear_svr,0.7271627218311936,0.013362793940536086
0.10472284226190479,0.0044990985147118304,decision_tree,0.6808210596956963,0.012190362550720972
0.06522888306847217,0.002840758012874184,random_forest,0.7614703381777692,0.00834120361178232
0.05389660016230483,0.002782880160968779,xgboost,0.7963266890031655,0.009481918418904991
